date,vessel_records,unique_vessels,reroute_rate,avg_delay_days,total_transit_cost_usd,total_asset_risk_usd,total_fuel_tonnes,reroute_rate_pct,rolling_7d_cost_usd,cost_z_30d,cost_anomaly
2026-03-01,3,3,0.0,0.0,180000,920000000,0,0.0,,,False
2026-03-02,3,3,0.0,0.0,3140000,920000000,0,0.0,,,False
2026-03-03,1,1,0.0,0.0,3000000,160000000,0,0.0,2106666.6666666665,,False
2026-03-04,6,6,0.0,0.0,420000,2280000000,0,0.0,1685000.0,,False
2026-03-05,2,2,0.0,0.0,3040000,320000000,0,0.0,1956000.0,,False
2026-03-06,4,4,0.0,0.0,250000,1300000000,0,0.0,1671666.6666666667,,False
2026-03-07,3,3,0.0,0.0,180000,920000000,0,0.0,1458571.4285714286,,False
2026-03-08,8,8,0.0,0.0,9350000,2380000000,0,0.0,2768571.4285714286,,False
2026-03-09,5,5,0.0,0.0,3280000,1680000000,0,0.0,2788571.4285714286,,False
2026-03-10,5,5,0.0,0.0,3220000,1240000000,0,0.0,2820000.0,0.2216835396908398,False
2026-03-11,6,6,0.0,0.0,3350000,2060000000,0,0.0,3238571.4285714286,0.2564762318172959,False
2026-03-12,3,3,0.0,0.0,210000,1140000000,0,0.0,2834285.714285714,-0.8642493708921841,False
2026-03-13,5,5,0.0,0.0,350000,1900000000,0,0.0,2848571.4285714286,-0.7608878552346692,False
2026-03-14,5,5,0.0,0.0,320000,1680000000,0,0.0,2868571.4285714286,-0.7300040177414807,False
2026-03-15,3,3,0.0,0.0,3140000,920000000,0,0.0,1981428.5714285714,0.3724918216345119,False
2026-03-16,9,9,0.0,0.0,6400000,2320000000,0,0.0,2427142.8571428573,1.5137198047272087,False
2026-03-17,5,5,0.0,0.0,3280000,1680000000,0,0.0,2435714.285714286,0.296608063442092,False
2026-03-18,6,6,0.0,0.0,390000,2060000000,0,0.0,2012857.142857143,-0.8152805906364566,False
2026-03-19,7,7,0.0,0.0,6320000,2000000000,0,0.0,2885714.285714286,1.4352721442170944,False
2026-03-20,5,5,0.0,0.0,3280000,1680000000,0,0.0,3304285.714285714,0.24880224201042844,False
2026-03-21,3,3,0.0,0.0,3110000,700000000,0,0.0,3702857.1428571427,0.1768388843268082,False
2026-03-22,2,2,0.0,0.0,110000,540000000,0,0.0,3270000.0,-0.9986971421274509,False
2026-03-23,4,4,0.0,0.0,250000,1300000000,0,0.0,2391428.5714285714,-0.9038136808804909,False
2026-03-24,3,3,0.0,0.0,3110000,700000000,0,0.0,2367142.8571428573,0.26030137952452603,False
2026-03-25,5,5,0.0,0.0,320000,1680000000,0,0.0,2357142.8571428573,-0.8724996733964726,False
2026-03-26,8,8,0.0,0.0,3490000,2820000000,0,0.0,1952857.142857143,0.44683618079123794,False
2026-03-27,4,4,0.0,0.0,220000,1080000000,0,0.0,1515714.2857142857,-0.9146007038168598,False
2026-03-28,3,3,0.0,0.0,3140000,920000000,0,0.0,1520000.0,0.32711491606708043,False
2026-03-29,5,5,0.0,0.0,6180000,1240000000,0,0.0,2387142.8571428573,1.547515756056817,False
2026-03-30,8,8,0.0,0.0,3400000,2160000000,0,0.0,2837142.8571428573,0.3657130284731737,False
2026-03-31,3,3,0.0,0.0,3140000,920000000,0,0.0,2841428.5714285714,0.2156499919596493,False
2026-04-01,21,21,0.47619047619047616,5.714285714285714,30689600,6120000000,12840,47.61904761904761,7179942.857142857,4.834672151409392,True
2026-04-02,19,19,0.3684210526315789,4.421052631578948,37658900,5725000000,9960,36.84210526315789,12061214.285714285,3.932202684767536,True
2026-04-03,23,23,0.34782608695652173,4.173913043478261,27083800,6030000000,8520,34.78260869565217,15898900.0,2.316241577930074,False
2026-04-04,25,25,0.44,5.28,29905400,6455000000,9360,44.0,19722528.57142857,2.2808967521376085,False
2026-04-05,22,22,0.36363636363636365,4.363636363636363,47749900,6085000000,10560,36.36363636363637,25661085.714285713,3.1357785033411916,True
2026-04-06,22,22,0.45454545454545453,5.454545454545454,39834700,7465000000,14280,45.45454545454545,30866042.85714286,2.20281967498865,False
2026-04-07,23,23,0.4782608695652174,5.739130434782608,35799500,5490000000,12000,47.82608695652174,35531685.71428572,1.7437965115272045,False
2026-04-08,19,19,0.5263157894736842,6.315789473684211,32202200,5760000000,13080,52.63157894736842,35747771.428571425,1.387618281714412,False
2026-04-09,34,34,0.3235294117647059,3.8823529411764706,64890700,9885000000,16680,32.35294117647059,39638028.571428575,2.8812367902156404,False
2026-04-10,28,28,0.32142857142857145,3.857142857142857,60327600,8610000000,11640,32.142857142857146,44387142.85714286,2.285918398256099,False
